date,motor_id,motor_type,health,status,suspected_cause,action
2024-01-01,KI04,TestRig,55.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-01,KI16,TestRig,57.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-02,KI04,TestRig,55.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-03,KI04,TestRig,58.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-04,KI16,TestRig,58.2,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-05,KI04,TestRig,59.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-05,KI16,TestRig,55.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-06,KI04,TestRig,56.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-06,KI16,TestRig,56.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-07,KI04,TestRig,56.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-07,KI16,TestRig,56.4,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-08,KI04,TestRig,56.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-08,KI16,TestRig,54.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-09,KI04,TestRig,59.7,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-09,KI16,TestRig,48.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-10,KI04,TestRig,56.7,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-10,KI16,TestRig,48.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-11,KI16,TestRig,47.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-12,KI04,TestRig,57.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-12,KI16,TestRig,46.2,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-13,KI04,TestRig,52.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-13,KI16,TestRig,50.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-14,KI04,TestRig,53.5,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-14,KI16,TestRig,49.2,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-15,KI04,TestRig,54.5,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-15,KI16,TestRig,46.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-16,KI04,TestRig,56.6,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-16,KI16,TestRig,46.7,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-17,KI04,TestRig,50.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-17,KI16,TestRig,46.2,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-18,KI04,TestRig,51.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-18,KI16,TestRig,48.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-19,KI04,TestRig,52.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-19,KI16,TestRig,47.7,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-20,KI04,TestRig,51.5,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-20,KI16,TestRig,49.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-21,KI04,TestRig,51.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-21,KI16,TestRig,49.4,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-22,KI04,TestRig,53.4,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-22,KI16,TestRig,51.5,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-23,KI04,TestRig,48.2,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-23,KI16,TestRig,51.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-24,KI04,TestRig,48.5,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-24,KI16,TestRig,43.4,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-25,KI04,TestRig,59.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-25,KI16,TestRig,47.4,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-26,KI04,TestRig,59.8,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-26,KI16,TestRig,45.5,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-27,KI16,TestRig,47.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-28,KI04,TestRig,56.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-28,KI16,TestRig,48.2,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-29,KI16,TestRig,52.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-30,KI16,TestRig,49.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-31,KI04,TestRig,59.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-01-31,KI16,TestRig,53.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-01,KI04,TestRig,56.8,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-01,KI16,TestRig,46.7,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-02,KI04,TestRig,43.2,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-02,KI16,TestRig,45.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-03,KI04,TestRig,52.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-03,KI16,TestRig,47.7,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-04,KI04,TestRig,45.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-04,KI16,TestRig,48.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-05,KI04,TestRig,53.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-05,KI16,TestRig,49.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-06,KI04,TestRig,54.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-06,KI16,TestRig,44.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-07,KI16,TestRig,39.6,Critical,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-08,KI04,TestRig,52.5,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-08,KI16,TestRig,46.5,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-09,KI04,TestRig,52.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-09,KI16,TestRig,48.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-10,KI04,TestRig,57.7,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-10,KI16,TestRig,48.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-11,KI04,TestRig,59.4,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-11,KI16,TestRig,46.5,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-12,KI04,TestRig,56.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-12,KI16,TestRig,51.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-13,KI16,TestRig,49.2,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-14,KI04,TestRig,59.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-14,KI16,TestRig,54.4,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-15,KI16,TestRig,56.7,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-16,KI04,TestRig,58.8,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-16,KI16,TestRig,56.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-17,KI16,TestRig,56.5,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-18,KI04,TestRig,56.5,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-18,KI16,TestRig,47.8,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-19,KI04,TestRig,54.4,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-19,KI16,TestRig,48.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-20,KI04,TestRig,56.8,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-20,KI16,TestRig,47.6,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-21,KI04,TestRig,56.8,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-21,KI16,TestRig,50.2,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-22,KI04,TestRig,56.2,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-22,KI16,TestRig,54.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-23,KI04,TestRig,55.6,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-23,KI16,TestRig,50.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-24,KI16,TestRig,51.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-25,KI16,TestRig,52.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-26,KI04,TestRig,52.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-27,KI04,TestRig,52.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-27,KI16,TestRig,59.8,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-28,KI04,TestRig,49.2,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-28,KI16,TestRig,56.5,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-29,KI04,TestRig,46.4,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-02-29,KI16,TestRig,52.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-01,KI04,TestRig,52.7,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-01,KI16,TestRig,50.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-02,KI04,TestRig,57.8,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-02,KI16,TestRig,54.2,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-03,KI04,TestRig,49.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-03,KI16,TestRig,52.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-04,KI04,TestRig,54.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-04,KI16,TestRig,52.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-05,KI04,TestRig,53.7,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-05,KI16,TestRig,52.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-06,KI04,TestRig,51.4,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-06,KI16,TestRig,53.4,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-07,KI04,TestRig,56.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-07,KI16,TestRig,54.6,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-08,KI04,TestRig,54.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-08,KI16,TestRig,47.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-09,KI04,TestRig,50.5,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-09,KI16,TestRig,59.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-10,KI04,TestRig,55.7,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-10,KI16,TestRig,54.1,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-11,KI04,TestRig,54.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-11,KI16,TestRig,48.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-12,KI04,TestRig,53.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-12,KI16,TestRig,51.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-13,KI04,TestRig,53.6,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-13,KI16,TestRig,47.4,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-14,KI04,TestRig,54.4,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-14,KI16,TestRig,47.6,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-15,KI04,TestRig,49.9,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-15,KI16,TestRig,45.2,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-16,KI04,TestRig,49.4,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-16,KI16,TestRig,50.0,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-17,KI04,TestRig,56.4,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-17,KI16,TestRig,55.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-18,KI16,TestRig,57.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-19,KI04,TestRig,59.8,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-19,KI16,TestRig,54.3,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
2024-03-20,KI16,TestRig,51.6,Alert,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop
