motor_id,motor_type,day,date,load_pct,temp_c,true_fault,true_severity,f0_hz,fr_hz,slip,rms_a,rms_b,rms_c,rms_mean,crest,thd,sideband_ratio,ecc_ratio,bearing_band,unbalance_pct,vib_rms,vib_crest,vib_high_ratio,health,status,suspected_cause,action,degradation,iforest_anomaly
K001,TestRig,0,2024-01-01,70.0,45.6,healthy,0.0,100.0,24.99,0.002,1.765,1.766,1.767,1.766,1.444,0.0159,2.0,0.007,0.007,0.11,0.0693,6.572,0.5395,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,0.856,False
K001,TestRig,1,2024-01-02,70.0,45.6,healthy,0.0,100.0,24.99,0.002,1.765,1.766,1.766,1.766,1.45,0.0168,2.0,0.0068,0.0068,0.05,0.0676,5.978,0.5187,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,0.947,False
K001,TestRig,2,2024-01-03,70.0,45.6,healthy,0.0,100.0,24.99,0.002,1.766,1.766,1.766,1.766,1.44,0.017,2.0,0.0074,0.0074,0.04,0.0667,6.604,0.5579,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.626,False
K001,TestRig,3,2024-01-04,70.0,45.6,healthy,0.0,100.0,24.99,0.002,1.767,1.764,1.767,1.766,1.443,0.0168,2.0,0.0082,0.0082,0.19,0.0691,6.198,0.539,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,0.975,False
K001,TestRig,4,2024-01-05,70.0,46.3,healthy,0.0,101.0,24.99,0.002,1.773,1.772,1.774,1.773,1.454,0.0085,2.0,0.0432,0.0433,0.11,0.0646,5.635,0.5745,75.9,Watch,Air-gap eccentricity sidebands,"Check alignment, air gap and mounting; re-measure in 7 days",6.48,False
K001,TestRig,5,2024-01-06,70.0,46.3,healthy,0.0,101.0,24.99,0.002,1.772,1.771,1.774,1.772,1.456,0.0086,2.0,0.0434,0.0453,0.18,0.0713,5.996,0.5243,81.9,Healthy,Air-gap eccentricity sidebands,"Check alignment, air gap and mounting; re-measure in 7 days",5.259,True
K001,TestRig,6,2024-01-07,70.0,46.3,healthy,0.0,101.0,24.99,0.002,1.773,1.77,1.775,1.773,1.451,0.0081,2.0,0.0363,0.0427,0.25,0.0706,5.71,0.5681,80.2,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,5.588,False
K001,TestRig,7,2024-01-08,70.0,46.3,healthy,0.0,101.0,24.99,0.002,1.773,1.77,1.775,1.773,1.444,0.0084,2.0,0.0327,0.0464,0.3,0.0666,5.798,0.5598,84.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,4.836,False
K001,TestRig,8,2024-01-09,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.771,1.771,1.773,1.772,1.453,0.0168,2.0,0.0055,0.0055,0.14,0.0691,6.214,0.5672,97.5,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,2.436,False
K001,TestRig,9,2024-01-10,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.773,1.77,1.776,1.773,1.465,0.0164,2.0,0.0052,0.0052,0.35,0.0691,6.831,0.5099,100.0,Healthy,Phase unbalance / overload,"Check supply balance, terminal tightness and winding insulation",1.872,False
K001,TestRig,10,2024-01-11,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.772,1.768,1.777,1.773,1.432,0.0166,2.0,0.0051,0.0051,0.49,0.0695,6.991,0.4842,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.173,False
K001,TestRig,11,2024-01-12,70.0,46.3,healthy,0.0,100.0,24.99,0.002,1.772,1.768,1.778,1.773,1.438,0.0172,2.0,0.0061,0.0061,0.54,0.0668,6.467,0.5134,100.0,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,1.101,False
K001,TestRig,12,2024-01-13,70.0,46.3,healthy,0.0,101.0,24.99,0.002,1.768,1.77,1.778,1.772,1.432,0.0055,2.0,0.0341,0.0481,0.6,0.0669,6.125,0.5375,85.7,Healthy,Bearing defect frequencies,Replace DE/NDE bearings at next planned stop,4.528,True
